Ni1Local,Ni2Local,ctm_SID_c1_p1,gbm_ActGearEven,ctm_SID_c1_p2,ctm_SID_c1_p3,ctm_SID_c1_p4,gbm_ActGearOdd,ctm_SID_c1_p5,ctm_SID_c2_p1,ctm_SID_c2_p2,ssm_ClutchShiftClass,ctm_SID_c2_p3,ctm_SID_c2_p4,ctm_SID_c2_p5,scm_IntPhase,cam_Clutch1ActuatorPos,cam_Clutch2ActuatorPos,ccm_Clutch1TgtTorque_Nm,ccm_ShiftPhase,ccm_Clutch2TgtTorque_Nm,tmm_P1Temp,tmm_P2Temp,gsm_DrvMode,tmm_CPTemp,tmm_MTFTemp,ccm_Clutch1ActTorque_Nm,gsm_DrvPtn,ccm_Clutch2ActTorque_Nm,tom_ClutchTorque_T3,tom_Clutch1EstTq_Nm,LeverPositionLocal,tom_Clutch2EstTq_Nm,AppSlip,AppSlipDot,csm_ClutchActState,scm_Fb_Gain,scm_SE_dSliptgt_PonUp,scm_App_Bse_Trq,APS,scm_App_RampAccum,ecm_EngReqTrq_Nm,scm_NeDot,ssm_CurGear,Ne,iom_VSP16,BrakePress,ssm_ClutchTgtGear,TQI_J,FlywheelTq,CANRx_LONG_ACCEL,CANRx_LAT_ACCEL,Slope,SAS_Angle,master
RPM,RPM,,,,,,,,,,,,,,,,,Nm,,Nm,*C,*C,,*C,*C,Nm,,Nm,Nm,Nm,,Nm,RPM,RPM/10ms,,Nm,RPM/10ms,Nm,%,Nm,Nm,RPM/10ms,,RPM,KPH,bar,,Nm,Nm,m/s^2,m/s^2,%,Deg,Seconds
0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,2.25,0.123046875,0.0,6.5311,0.0,0.0,0.0,0.0,0.0,-16.4,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,399.2,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-50.0,0.0,16343.0,0.0,0.0,0.0,1.2,12.0,644.85,644.85,0.0,1.2,242.3415
0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,1.2554285714287479,0.19880952380957395,0.0,6.541045714285713,0.0,0.0,0.0,0.0,0.0,-15.0,0.0,-0.4990476190475881,0.0,0.0,0.0,0.0,0.0,397.40571428571445,10.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-50.0,0.0,16346.5,0.0,0.0,0.0,1.5,15.0,645.0390476190476,645.0390476190476,0.0,1.5,242.4415
0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,651.5411428571425,-0.21705729166660181,0.0,0.03818857142857427,0.0,0.0,0.0,0.0,0.0,-16.4,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,401.6,12.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-50.0,0.0,16343.0,0.0,0.0,0.0,1.2,12.0,-10.059619047619144,-10.059619047619144,0.0,1.2,242.54149999999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,648.9020379162473,-0.26047837677756197,0.0,0.06457962083752701,0.0,0.0,0.0,0.0,0.0,-17.68767772512157,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,401.59431279621,6.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-50.0,0.0,16339.780805687196,0.0,0.0,0.0,1.2028436018950222,12.028436018950222,-10.100284360189502,-10.100284360189502,0.0,1.2028436018950222,242.64149999999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,654.2505714285713,0.010453869047937462,0.0,0.011094285714287153,0.0,0.0,0.0,0.0,0.0,-17.7,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,403.38666666667,8.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-50.0,0.0,16339.75,0.0,0.0,0.0,1.2,12.0,638.8390476206188,638.8390476206188,0.0,1.2,242.74149999999997
0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,1.7336492891011173,0.04274659360195139,0.0,6.5362635071089885,0.0,0.0,0.0,0.0,0.0,-16.4,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,401.6,4.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-50.0,0.0,16339.75,0.0,0.0,0.0,1.2028436018950222,12.028436018950222,644.9301895734596,644.9301895734596,0.0,1.2028436018950222,242.84149999999997
0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,3.826714283158052,0.18056175595326582,0.0,6.51533285716842,0.0,0.0,0.0,0.0,0.0,-16.406190476185397,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,400.609523809516,5.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-50.0,0.0,16342.967857142883,0.0,0.0,0.0,1.2,12.0,644.9300952380951,644.9300952380951,0.0,1.2,242.94149999999996
0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,1.654454976300935,-0.02475192535683624,0.0,6.53705545023699,0.0,0.0,0.0,0.0,0.0,-16.4,0.0,-0.19810426540385737,0.0,0.0,0.0,0.0,0.0,399.0094786729807,14.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-50.0,0.0,16343.0,0.0,0.0,0.0,1.497156398105786,14.97156398105786,644.9292417061615,644.9292417061615,0.0,1.497156398105786,243.04149999999996
0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.28457142856767925,-0.03701636904769533,0.0,6.550754285714323,0.0,0.0,0.0,0.0,0.0,-16.4,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,397.8,1.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-50.0,0.0,16343.0,0.0,0.0,0.0,1.4985714285726002,14.985714285726003,645.0695714285719,645.0695714285719,0.0,1.4985714285726002,243.14149999999995
